n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,category
0.013863814063370228,0.7358952164649963,0.11360559612512589,0.5288466215133667,0.010050681419670582,0.21055001020431519,0.4441003203392029,0.6299191117286682,0.7401212453842163,0.2781396210193634,0.14228591322898865,0.007144949398934841,0.3059057593345642,1.402498722076416,0.010978618636727333,0
0.0023203135933727026,0.5424752831459045,0.20440877974033356,0.3295641243457794,0.0047020637430250645,0.05334826186299324,0.042649395763874054,0.2048729956150055,0.7941772937774658,0.17179475724697113,0.1128109022974968,0.036032337695360184,0.8154071569442749,1.0072897672653198,0.006682400591671467,0
0.03190173581242561,0.39960306882858276,0.3316221833229065,0.1999693214893341,0.030090894550085068,0.15424560010433197,0.10926928371191025,0.2855294644832611,0.250071257352829,0.0656123161315918,0.05119207501411438,0.14280197024345398,0.1380428671836853,0.6272038221359253,0.0,0
0.11142391711473465,0.33180293440818787,0.2871268391609192,0.046677958220243454,0.013960949145257473,0.1045822873711586,0.05590106546878815,0.5108972191810608,0.11062368750572205,0.022528378292918205,0.014239785261452198,0.026674900203943253,0.19216783344745636,0.93479984998703,0.0,0
0.14803196489810944,0.6712132096290588,0.19475886225700378,0.32216259837150574,0.07023385912179947,0.15396638214588165,0.16839785873889923,1.3059190511703491,0.45585355162620544,0.6368101239204407,0.21037140488624573,0.09216152131557465,0.8008847236633301,1.9448542594909668,0.107761912047863,1
0.019074944779276848,0.587364137172699,0.025896793231368065,0.36824125051498413,0.013256894424557686,0.025240281596779823,0.04114886373281479,0.5246521830558777,0.8109044432640076,0.5239078998565674,0.17163623869419098,0.09331424534320831,0.7785396575927734,1.2196022272109985,0.10996183753013611,0
0.008082276210188866,0.5306939482688904,0.05092693492770195,0.6743877530097961,0.0019832816906273365,0.03984091430902481,0.042770106345415115,0.7706089615821838,0.9741492867469788,0.6679635643959045,0.1212153360247612,0.0430414117872715,0.5598673224449158,1.2301809787750244,0.016245359554886818,0
0.002045317552983761,0.6091281771659851,0.21479712426662445,0.38540154695510864,0.011018626391887665,0.06041170284152031,0.05533568561077118,0.8492507338523865,0.5056098103523254,0.11049074679613113,0.07000464200973511,0.058098193258047104,0.29403507709503174,1.0986058712005615,0.020368317142128944,0
0.01548674888908863,0.3977769613265991,0.223533496260643,0.38290935754776,0.008928081020712852,0.1631418764591217,0.14290347695350647,0.4852107763290405,0.4573836028575897,0.02447793260216713,0.062437329441308975,0.05323413759469986,0.29249975085258484,1.074977993965149,0.01169482059776783,0
0.03883503004908562,0.4302246868610382,0.2122119963169098,0.10333430022001266,0.0027212039567530155,0.1061975434422493,0.06481349468231201,0.3626103699207306,0.43699440360069275,0.2768251597881317,0.19232000410556793,0.05088905245065689,0.6834939122200012,1.170479416847229,0.0025692586787045,0
0.17026783525943756,0.4040784239768982,0.5801653265953064,0.11145385354757309,0.0044949292205274105,0.21051138639450073,0.4793841540813446,0.3213023841381073,0.3382991552352905,0.07366958260536194,0.050368115305900574,0.052532996982336044,0.6882085800170898,0.8666446805000305,0.04899778589606285,0
0.06282950192689896,0.753369152545929,0.4233258366584778,0.17597657442092896,0.07790616154670715,0.22688321769237518,0.45006850361824036,1.2014390230178833,0.2678675651550293,0.044641874730587006,0.08173926174640656,0.4364505708217621,0.6669037342071533,1.1898117065429688,0.11403685063123703,1
0.12035264074802399,0.6726365685462952,0.4437125623226166,0.10164980590343475,0.09803140163421631,0.2156459391117096,0.18526485562324524,1.1472223997116089,0.07274957001209259,0.1461174190044403,0.07690601050853729,0.3666269779205322,0.497749388217926,1.0169305801391602,0.05417267233133316,1
0.09245440363883972,0.5837910771369934,0.04007219150662422,0.2842613756656647,0.058703843504190445,0.18466685712337494,0.05062735825777054,0.8805050849914551,0.22274912893772125,0.3191945254802704,0.04729294031858444,0.12824611365795135,0.3070144057273865,2.431774616241455,0.10776156932115555,1
0.0009886780753731728,1.0975662469863892,0.20333331823349,0.42378702759742737,0.10820045322179794,0.05243714526295662,0.12260276824235916,0.9657090902328491,0.575554370880127,0.13310936093330383,0.08635299652814865,0.11460503935813904,0.2742932140827179,0.9951170682907104,0.055333565920591354,0
0.14268529415130615,0.4370522201061249,0.21565566956996918,0.05228240787982941,0.055845003575086594,0.2304399311542511,0.07135900855064392,1.720450520515442,0.03296676650643349,0.036427091807127,0.019624289125204086,0.9877222776412964,0.11066722869873047,0.7762340903282166,0.15859155356884003,1
0.012702430598437786,0.7431310415267944,0.29866254329681396,0.5203370451927185,0.03846115618944168,0.11975762993097305,0.6336259841918945,1.0279871225357056,0.4458411931991577,0.10124180465936661,0.07203549146652222,0.020031839609146118,0.5241195559501648,1.3917787075042725,0.038366906344890594,0
